NUMESCALA;C_Abonos;C_Agro-ganadero y alimentario;C_Energético;C_Material de construcción;C_Minerales no metálicos;C_Químicos;C_Siderometalúrgico;C_Vehículos y elementos de transporte;C_Otras mercancías;D_Abonos;D_Agro-ganadero y alimentario;D_Energético;D_Material de construcción;D_Minerales no metálicos;D_Químicos;D_Siderometalúrgico;D_Vehículos y elementos de transporte;D_Otras mercancías
C201901726;0;0;0;0;0;0;0;0;0;11000;0;0;0;0;0;0;0;0
C201901753;0;0;0;0;0;0;0;0;0;0;0;64867.87;0;0;0;0;0;0
C201901755;0;0;0;0;0;0;0;0;0;0;4361.21;0;0;0;0;0;0;0
C201901758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6195.25;0;0
C201901770;0;0;0;0;0;0;0;0;0;8009.8;0;0;0;0;0;0;0;0
C201901773;0;0;0;0;0;0;0;0;0;0;2405.54;0;0;0;0;0;0;0
C201901783;0;0;0;0;0;4505;0;0;0;4857.748;0;0;0;0;0;0;0;0
C201901785;0;0;0;0;0;0;0;0;0;0;3298.724;0;0;0;0;0;0;0
C202000008;0;0;0;0;0;0;0;0;0;3042.815;0;0;0;0;0;0;0;0
C202000009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7500;0;0
C202000010;0;0;0;0;0;0;0;0;0;4401;0;0;0;0;0;0;0;0
C202000015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4650.171;0;0
C202000016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19874.4;0;0
C202000025;0;0;0;0;0;0;0;0;0;0;0;0;0;4472.639;0;0;0;0
C202000027;0;0;0;0;0;8000;0;0;0;0;0;0;0;0;0;0;0;0
C202000031;0;0;0;0;0;0;0;0;0;0;2749.784;0;0;0;0;0;0;0
C202000032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4600.651;0;0
C202000033;0;0;0;0;0;4850;0;0;0;0;0;0;0;0;0;0;0;0
C202000035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9546.02;0;0
C202000043;0;0;0;0;0;2901;0;0;0;0;0;0;0;0;0;0;0;0
C202000048;0;0;0;0;0;17004;0;0;0;0;0;0;0;0;0;0;0;0
C202000049;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0
C202000051;0;0;0;0;0;0;0;0;0;6700;0;0;0;0;0;0;0;0
C202000053;0;0;0;0;0;0;0;0;0;5932.5;0;0;0;0;0;0;0;0
C202000054;0;0;0;0;0;0;0;0;0;0;3000;0;0;0;0;0;0;0
C202000064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5693.835;0;0
C202000065;0;0;0;0;2611.344;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000067;0;0;0;0;0;0;0;0;0;6950.995;0;0;0;0;0;0;0;0
C202000071;0;0;0;0;0;3490;0;0;0;0;0;0;0;0;0;0;0;0
C202000072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4602.832;0;0
C202000074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95.45;0;0;0
C202000076;0;0;0;0;0;6008.14;0;0;0;0;0;0;0;0;0;0;0;0
C202000078;0;0;0;0;0;2755.5;0;0;0;0;0;0;0;0;0;0;0;0
C202000088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1106.186
C202000093;0;0;0;0;0;0;0;0;0;4400;0;0;0;0;2000;0;0;0
C202000094;0;6158.9;0;0;0;0;0;0;0;7400;0;0;0;0;0;0;0;0
C202000095;0;0;0;0;0;29353.1;0;0;0;0;0;0;0;0;0;0;0;0.36
C202000096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136.6
C202000097;0;0;0;0;0;0;0;0;0;7690;0;0;0;0;0;0;0;0
C202000101;0;0;0;0;0;0;0;0;0;4230;0;0;0;0;0;0;0;0
C202000104;0;0;0;0;0;0;1500;0;0;0;0;0;0;0;0;0;0;0
C202000108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1778.72;0;0
C202000109;0;0;0;0;0;0;3252.003;0;0;0;0;0;0;0;0;0;0;0
C202000110;0;0;0;0;0;0;0;0;0;4399.548;0;0;0;0;0;0;0;0
C202000111;0;0;0;0;0;0;2094.31;0;0;0;0;0;0;0;0;0;0;0
C202000113;0;0;0;0;0;0;0;0;0;2259.701;0;0;0;0;0;0;0;0
